"Supplier","Product Name"," Name","Type of Furnature","On or Off in Inventory","Description","Parameters / Features","Max % AOJ","FFE Option","Max Qty","Price","Daily PMT","Aggregate Gross","Aggregate Net","Other"
"Newell Furniture","ADA-221","Sample Name","Appliance","Off"," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","100%","10%",""," $ 20,000,000 ","","","",""
"","AES","Sample Name","Appliance","On","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","100%","10%",""," $ 20,000,000 ","","","",""
"","EADSS","Sample Name","Furnature","","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","100%","10%",""," $ 20,000,000 ","","","",""
"","OIP-SS","Sample Name","Electronic","On","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","100%","10%",""," $ 20,000,000 ","","","",""
"","WENDI","Sample Name","Appliance","Off","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","100%","10%",""," $ 20,000,000 ","","","",""
"","ADA-221","Sample Name","Appliance","On"," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","100%","10%",""," $ 20,000,000 ","","","",""
"","AES","Sample Name","Furnature","On","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","100%","10%",""," $ 20,000,000 ","","","",""
"","EADSS","Sample Name","Electronic","Off","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","100%","10%",""," $ 20,000,000 ","","","",""
"","OIP-SS","Sample Name","Appliance","On","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","100%","10%",""," $ 20,000,000 ","","","",""
"","WENDI","Sample Name","Appliance","On","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","100%","10%",""," $ 20,000,000 ","","","",""
